Emotion,Quote
Happy,Do more of what makes you happy.
Happy,"A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles."
Happy,Happiness is not something ready-made. It comes from your own actions.
Happy,Happiness depends upon ourselves.
Happy,"Enjoy the little things, for one day you may look back and realize they were the big things."
Happy,Happiness is not a goal; it is a by-product.
Happy,"Smile, breathe, and go slowly."
Happy,Joy is not in things; it is in us.
Happy,A happy heart makes the face cheerful.
Happy,The purpose of our lives is to be happy.
Happy,"Happiness is found in giving, not in receiving."
Happy,Happiness is the art of never holding in your mind the memory of any unpleasant thing.
Happy,True happiness comes from within.
Happy,A positive mindset brings positive things.
Happy,Happiness blooms from within.
Happy,Smile—it’s contagious!
Happy,Choose joy every day.
Happy,"Happiness is a journey, not a destination."
Happy,"The secret to happiness is freedom, and the secret to freedom is courage."
Happy,Happiness grows when shared.
Happy,A day without laughter is a day wasted.
Happy,"Count your blessings, not your problems."
Happy,"The more you give, the happier you become."
Happy,Happiness begins where fear ends.
Happy,Find joy in the ordinary.
Happy,"Happiness is not found in things, but in moments."
Happy,Happiness is the sunshine of the soul.
Happy,Every smile makes the world a little brighter.
Happy,The key to happiness is appreciating what you have.
Happy,"Happiness is a choice, not a result."
Happy,Radiate positivity and watch it return to you.
Happy,True joy comes from within.
Happy,A grateful heart is a magnet for happiness.
Sad,"Sometimes, we have to experience the bad to appreciate the good."
Sad,Tears come from the heart and not from the brain.
Sad,Pain is inevitable. Suffering is optional.
Sad,Even the darkest night will end and the sun will rise.
Sad,Sadness flies away on the wings of time.
Sad,We must embrace pain and burn it as fuel for our journey.
Sad,"Behind every dark cloud, the sun is still shining."
Sad,Every storm runs out of rain.
Sad,There is no despair so absolute as that which comes with the first moments of our first great sorrow.
Sad,"Tough times never last, but tough people do."
Sad,The soul would have no rainbow if the eyes had no tears.
Sad,Tears are words the heart can’t say.
Sad,It’s okay to feel sad; just don’t let it define you.
Sad,Your pain today will be your strength tomorrow.
Sad,You are stronger than you think.
Sad,"You’re allowed to feel, just don’t let it consume you."
Sad,"Healing takes time, be patient with yourself."
Sad,Grief is love with nowhere to go.
Sad,"Even in sadness, there is growth."
Sad,Stars shine brightest in the darkest nights.
